variant_and_allele,p_value,trait,gene,location,af,tissues
rs11969759-<b>?</b>,2e-06,alzheimer disease,TNXB,6:32053353,-1.0,Skin_Not_Sun_Exposed_Suprapubic&Brain_Cortex&Whole_Blood&Adipose_Subcutaneous&Lung&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Artery_Tibial&Stomach&Brain_Cerebellar_Hemisphere&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Pituitary&Thyroid&Cells_Cultured_fibroblasts&Artery_Aorta&Brain_Cerebellum&Muscle_Skeletal&Esophagus_Mucosa
rs78541046-<b>?</b>,2e-06,late-onset alzheimers disease,RHBDF1,16:63029,-1.0,
rs147597631-<b>T</b>,2e-06,late-onset alzheimers disease,TCF15,20:566915,0.012863949179460031,
rs147597631-<b>T</b>,2e-06,late-onset alzheimers disease,CSNK2A1,20:566915,0.012863949179460031,
rs145848414-<b>?</b>,2e-06,alzheimer disease,HIGD1AP3,5:174587111,-1.0,
rs145848414-<b>?</b>,2e-06,alzheimer disease,SUMO2P6,5:174587111,-1.0,
rs2718058-<b>?</b>,2e-06,alzheimer disease,GPR141,7:37801932,-1.0,Colon_Transverse&Whole_Blood&Lung
rs2718058-<b>?</b>,2e-06,alzheimer disease,EPDR1,7:37801932,-1.0,Colon_Transverse&Whole_Blood&Lung
rs62177277-<b>T</b>,2e-06,late-onset alzheimers disease,SESTD1,2:179139721,0.02248875562218891,Brain_Cerebellum&Artery_Tibial&Lung
rs144077517-<b>A</b>,2e-06,late-onset alzheimers disease,SCAPER,15:76352686,0.00014234875444839857,
rs12450778-<b>?</b>,2e-06,alzheimer disease,EPOP,17:38658216,-1.0,
rs12450778-<b>?</b>,2e-06,alzheimer disease,SRCIN1,17:38658216,-1.0,
rs77104831-<b>?</b>,2e-06,alzheimer disease,FBXL13,7:102911421,-1.0,Adipose_Visceral_Omentum
rs73732514-<b>A</b>,2e-06,late-onset alzheimers disease,CTD-2194D22.4,5:1983817,0.9861303744798888,
rs145282773-<b>T</b>,2e-06,late-onset alzheimers disease,HMGA2,12:65859519,0.9998576512455516,
rs145282773-<b>T</b>,2e-06,late-onset alzheimers disease,HMGA2-AS1,12:65859519,0.9998576512455516,
rs2854437-<b>G</b>,2e-06,alzheimer disease,SORD,15:45065212,0.7761778718898888,
rs11761441-<b>G</b>,2e-06,alzheimer disease,UNKNOWN,7:82377,0.5221888412017167,Whole_Blood&Cells_Cultured_fibroblasts
rs2061333-<b>?</b>,2e-06,alzheimer disease,ZNF225,19:44110055,-1.0,
rs2061333-<b>?</b>,2e-06,alzheimer disease,ZNF224,19:44110055,-1.0,
rs11159647-<b>?</b>,2e-06,alzheimer disease,UNKNOWN,14:84308865,-1.0,
rs10933431-<b>G</b>,2e-06,alzheimer disease,INPP5D,2:233117202,0.3065113816834304,Testis&Cells_Cultured_fibroblasts
rs77636885-<b>?</b>,2e-06,alzheimer disease,CAMK4,5:111383489,-1.0,
rs75253868-<b>?</b>,2e-06,alzheimer disease,PLEKHG1,6:150781694,-1.0,Breast_Mammary_Tissue
rs9969729-<b>A</b>,2e-06,alzheimer disease,SLC25A6P5,9:105869669,0.17675853558206495,Skin_Not_Sun_Exposed_Suprapubic&Artery_Tibial
rs7638995-<b>A</b>,2e-06,alzheimer disease,FRMD4B,3:69124224,0.2473684210526316,Heart_Atrial_Appendage&Artery_Coronary&Lung&Heart_Left_Ventricle&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Artery_Tibial&Stomach&Liver&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Colon_Sigmoid&Thyroid&Artery_Aorta&Brain_Nucleus_accumbens_basal_ganglia&Adipose_Visceral_Omentum&Muscle_Skeletal&Esophagus_Mucosa
rs7638995-<b>A</b>,2e-06,alzheimer disease,LMOD3,3:69124224,0.2473684210526316,Heart_Atrial_Appendage&Artery_Coronary&Lung&Heart_Left_Ventricle&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Artery_Tibial&Stomach&Liver&Nerve_Tibial&Skin_Sun_Exposed_Lower_leg&Colon_Sigmoid&Thyroid&Artery_Aorta&Brain_Nucleus_accumbens_basal_ganglia&Adipose_Visceral_Omentum&Muscle_Skeletal&Esophagus_Mucosa
rs78022502-<b>?</b>,2e-06,alzheimer disease,LIMS2,2:127638592,-1.0,Artery_Tibial&Colon_Sigmoid&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Heart_Left_Ventricle&Nerve_Tibial&Pancreas
rs188392327-<b>A</b>,2e-06,late-onset alzheimers disease,UGT1A8,2:233651485,0.004499735309687666,
rs188392327-<b>A</b>,2e-06,late-onset alzheimers disease,UGT1A10,2:233651485,0.004499735309687666,
rs8111708-<b>?</b>,2e-06,late-onset alzheimers disease,ELL,19:18448066,-1.0,
rs17006206-<b>G</b>,2e-06,alzheimer disease,SLC4A1AP,2:27684606,0.005773174733388023,
rs139195876-<b>A</b>,2e-06,late-onset alzheimers disease,NACAP6,5:16262936,1.0,
rs17366218-<b>A</b>,2e-06,alzheimer disease,PDE1A,2:182154019,0.9775577899865244,
rs183256737-<b>A</b>,2e-06,late-onset alzheimers disease,SEC24B-AS1,4:109373310,0.9984743411927878,
rs1552244-<b>A</b>,2e-06,alzheimer disease,FANCD2OS,3:10093893,0.8233867389696821,Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Stomach&Esophagus_Muscularis&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Prostate&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pituitary&Pancreas
rs1552244-<b>A</b>,2e-06,alzheimer disease,FANCD2,3:10093893,0.8233867389696821,Artery_Tibial&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Cells_EBV-transformed_lymphocytes&Stomach&Esophagus_Muscularis&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Whole_Blood&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Prostate&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Pituitary&Pancreas
rs187857322-<b>?</b>,2e-06,late-onset alzheimers disease,OR7E59P,7:6869229,-1.0,
rs187857322-<b>?</b>,2e-06,late-onset alzheimers disease,OR7E136P,7:6869229,-1.0,
rs1448284-<b>T</b>,2e-06,alzheimer disease,MAPRE1P2,4:33078033,-1.0,
rs7245858-<b>?</b>,2e-06,alzheimer disease,PPIAP59,19:50927340,-1.0,
rs17301739-<b>?</b>,2e-06,alzheimer disease,LIPC-AS1,15:58438440,-1.0,
rs17301739-<b>?</b>,2e-06,alzheimer disease,LIPC,15:58438440,-1.0,
rs17301739-<b>?</b>,2e-06,alzheimer disease,ALDH1A2,15:58438440,-1.0,
rs10968750-<b>T</b>,2e-06,alzheimer disease,LINGO2,9:28753984,0.9422121896162527,
rs113260531-<b>A</b>,3e-06,alzheimer disease,ZNF594-DT,17:5235685,0.13292747485442033,
rs35833468-<b>?</b>,3e-06,late-onset alzheimers disease,EGLN3,14:33974720,-1.0,
rs7311672-<b>?</b>,3e-06,alzheimer disease,C1S,12:7057810,-1.0,
rs73165159-<b>?</b>,3e-06,alzheimer disease,CENPM,22:41950038,-1.0,
rs73165159-<b>?</b>,3e-06,alzheimer disease,LINC00634,22:41950038,-1.0,
rs472926-<b>C</b>,3e-06,alzheimer disease,CDON,11:126035363,0.1505876955885635,
rs147985478-<b>A</b>,3e-06,late-onset alzheimers disease,PRANCR,12:69997949,0.9976291693917592,
rs7963314-<b>?</b>,3e-06,alzheimer disease,LINC02414,12:131573284,-1.0,
rs79930850-<b>A</b>,3e-06,late-onset alzheimers disease,CASP12,11:104874043,0.9604961434229728,
rs143261188-<b>C</b>,3e-06,late-onset alzheimers disease,TENM4,11:78938571,1.0,
rs3109899-<b>A</b>,3e-06,alzheimer disease,USP50,15:50532526,0.12401523109243698,
rs9862849-<b>?</b>,3e-06,alzheimer disease,UNKNOWN,3:66855351,-1.0,Muscle_Skeletal
rs11055612-<b>C</b>,3e-06,alzheimer disease,GRIN2B,12:13770394,0.517211536117409,
rs192326911-<b>?</b>,3e-06,late-onset alzheimers disease,STAU2-AS1,8:73378103,-1.0,
rs192326911-<b>?</b>,3e-06,late-onset alzheimers disease,RDH10-AS1,8:73378103,-1.0,
rs150291119-<b>A</b>,3e-06,late-onset alzheimers disease,NAALADL2,3:174769522,0.005003126954346466,
rs3814837-<b>?</b>,3e-06,alzheimer disease,CATSPERB,14:91725006,-1.0,
rs3865444-<b>C</b>,3e-06,alzheimer disease,SIGLEC22P,19:51224706,0.6976760840763419,
rs3865444-<b>C</b>,3e-06,alzheimer disease,CD33,19:51224706,0.6976760840763419,
rs144471255-<b>A</b>,3e-06,late-onset alzheimers disease,RDX,11:110058188,0.0011095700416088763,
rs9869689-<b>T</b>,3e-06,alzheimer disease,FBXO40,3:121607829,0.0935395774133985,Whole_Blood&Adipose_Subcutaneous&Colon_Transverse&Artery_Tibial&Nerve_Tibial&Thyroid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Muscle_Skeletal&Esophagus_Mucosa
rs1034435-<b>A</b>,3e-06,late-onset alzheimers disease,TAFA5,22:48492443,0.3734244580135567,
rs846858-<b>A</b>,3e-06,late-onset alzheimers disease,IGSF23,19:44625528,0.33530968766543146,
rs75036080-<b>?</b>,3e-06,alzheimer disease,C12orf40,12:39882501,-1.0,
rs75036080-<b>?</b>,3e-06,alzheimer disease,SLC2A13,12:39882501,-1.0,
rs138449900-<b>C</b>,3e-06,late-onset alzheimers disease,CNTNAP5,2:123951121,0.9933298041291688,
rs138449900-<b>C</b>,3e-06,late-onset alzheimers disease,RN7SKP102,2:123951121,0.9933298041291688,
rs13146780-<b>C</b>,3e-06,alzheimer disease,RN7SL193P,4:43849075,0.048736411520788975,
rs192232892-<b>T</b>,3e-06,late-onset alzheimers disease,TBXAS1,7:139942249,0.0018634863166861887,
rs727153-<b>C</b>,3e-06,alzheimer disease,LRAT,4:154733269,0.4999164833139421,
rs10426423-<b>C</b>,3e-06,alzheimer disease,NECTIN2,19:44844996,0.6287415491727262,
rs10426423-<b>C</b>,3e-06,alzheimer disease,BCAM,19:44844996,0.6287415491727262,
rs117760708-<b>T</b>,3e-06,late-onset alzheimers disease,JPH3,16:87653662,0.003361526783777923,
rs1497197-<b>?</b>,3e-06,alzheimer disease,LHX1-DT,17:36819274,-1.0,
rs11782819-<b>?</b>,3e-06,alzheimer disease,LINCR-0001,8:10477271,-1.0,Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Adipose_Visceral_Omentum&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Muscularis&Liver&Thyroid&Adrenal_Gland&Breast_Mammary_Tissue&Brain_Amygdala&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Lung&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Brain_Cerebellum
rs116593898-<b>?</b>,3e-06,alzheimer disease,SFT2D2,1:168232648,-1.0,Muscle_Skeletal
rs6110969-<b>T</b>,3e-06,alzheimer disease,PPIAP17,20:16216865,0.1015342335751992,
rs183291664-<b>T</b>,3e-06,late-onset alzheimers disease,SCAPER,15:76713822,0.9997153024911032,
rs10838725-<b>?</b>,3e-06,alzheimer disease,CELF1,11:47536319,-1.0,
rs2221154-<b>?</b>,3e-06,alzheimer disease,RBMS3,3:28887369,-1.0,
rs12661302-<b>C</b>,3e-06,late-onset alzheimers disease,UNKNOWN,6:103817252,0.965542942323128,
rs853656-<b>T</b>,4e-06,late-onset alzheimers disease,RASSF8,12:25965239,0.11244044467972472,
rs141521929-<b>T</b>,4e-06,late-onset alzheimers disease,TUSC1,9:25669750,0.0013869625520110955,
rs147285445-<b>T</b>,4e-06,late-onset alzheimers disease,ANKRD22,10:88850285,0.9996441281138788,
rs10794342-<b>?</b>,4e-06,alzheimer disease,AP2A2,11:924904,-1.0,
rs182972826-<b>T</b>,4e-06,late-onset alzheimers disease,SEC24B,4:109534350,0.0009015256588072123,
rs4961664-<b>?</b>,4e-06,alzheimer disease,CCDC171,9:16161235,-1.0,Thyroid
rs4961664-<b>?</b>,4e-06,alzheimer disease,C9orf92,9:16161235,-1.0,Thyroid
rs19213255-<b>?</b>,4e-06,late-onset alzheimers disease,UNKNOWN,Mapping not available,-1.0,
rs187423924-<b>A</b>,4e-06,late-onset alzheimers disease,AQP4-AS1,18:26735845,-1.0,
rs141387448-<b>T</b>,4e-06,late-onset alzheimers disease,ZNF438,10:31115466,-1.0,
rs141387448-<b>T</b>,4e-06,late-onset alzheimers disease,LINC02664,10:31115466,-1.0,
rs6806784-<b>?</b>,4e-06,late-onset alzheimers disease,SENP7,3:101508591,-1.0,
rs2282079-<b>?</b>,4e-06,alzheimer disease,PAX5,9:37036250,-1.0,
rs2282079-<b>?</b>,4e-06,alzheimer disease,RPL32P21,9:37036250,-1.0,
rs721146-<b>A</b>,4e-06,alzheimer disease,LINC01684,21:24540925,0.3195769230769231,
rs190982-<b>?</b>,4e-06,alzheimer disease,MEF2C-AS1,5:88927603,-1.0,Muscle_Skeletal&Artery_Tibial&Artery_Aorta
rs73681522-<b>A</b>,4e-06,late-onset alzheimers disease,UNKNOWN,7:13656708,0.012690707350901527,
rs1125355-<b>A</b>,4e-06,alzheimer disease,DAPL1,2:158844068,0.2456326098464796,Skin_Not_Sun_Exposed_Suprapubic&Artery_Tibial&Colon_Sigmoid&Skin_Sun_Exposed_Lower_leg&Pituitary&Thyroid&Adrenal_Gland&Esophagus_Mucosa
rs117022236-<b>A</b>,4e-06,late-onset alzheimers disease,AKR7A3,1:19288434,0.9988120950323974,
rs115443594-<b>T</b>,4e-06,late-onset alzheimers disease,PRPF19P1,18:65993723,0.9920943134535368,
rs912330-<b>?</b>,4e-06,alzheimer disease,STK24,13:98479040,-1.0,
rs9832461-<b>A</b>,4e-06,alzheimer disease,NFU1P1,3:39708102,0.7662128913547696,
rs142076474-<b>A</b>,4e-06,late-onset alzheimers disease,CEP63,3:134501479,0.9810454692731396,Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Adipose_Visceral_Omentum&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Breast_Mammary_Tissue&Whole_Blood&Brain_Cerebellum&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Spleen&Esophagus_Mucosa&Prostate&Lung&Nerve_Tibial&Pituitary&Pancreas&Brain_Hypothalamus
rs181299481-<b>A</b>,4e-06,late-onset alzheimers disease,RNY4P18,9:111149099,0.9998576512455516,
rs78210707-<b>?</b>,4e-06,alzheimer disease,GRIN2B,12:13763366,-1.0,
rs4972634-<b>T</b>,4e-06,alzheimer disease,RPSAP24,2:174042477,0.3828966077594961,Thyroid&Adipose_Visceral_Omentum&Whole_Blood
rs4972634-<b>T</b>,4e-06,alzheimer disease,LINC01960,2:174042477,0.3828966077594961,Thyroid&Adipose_Visceral_Omentum&Whole_Blood
rs178585-<b>C</b>,4e-06,alzheimer disease,UNKNOWN,2:211107743,0.4952140466263433,
rs10018288-<b>G</b>,4e-06,alzheimer disease,LINC00290,4:181180536,0.22045815784983705,
rs10018288-<b>G</b>,4e-06,alzheimer disease,LINC02500,4:181180536,0.22045815784983705,
rs10748526-<b>?</b>,4e-06,alzheimer disease,TSPAN14,10:80513323,-1.0,
rs190094306-<b>?</b>,4e-06,late-onset alzheimers disease,NHLRC3,13:39050685,-1.0,
rs11909995-<b>?</b>,4e-06,alzheimer disease,ATP5PF,21:25725147,-1.0,
rs2699450-<b>A</b>,4e-06,late-onset alzheimers disease,CDCA7L,7:22018573,0.26161990471148755,
rs2699450-<b>A</b>,4e-06,late-onset alzheimers disease,RAPGEF5,7:22018573,0.26161990471148755,
rs7561207-<b>?</b>,4e-06,alzheimer disease,ANTXR1,2:69138666,-1.0,
rs17249850-<b>T</b>,4e-06,alzheimer disease,BANK1,4:101630413,0.0945713908334434,
rs9787911-<b>?</b>,4e-06,alzheimer disease,NTM,11:131899508,-1.0,
rs181990369-<b>A</b>,4e-06,late-onset alzheimers disease,DLC1,8:13182155,0.999288256227758,
rs72839770-<b>T</b>,4e-06,alzheimer disease,DVL2,17:7228873,0.27242458279845955,
rs201879533-<b>?</b>,4e-06,late-onset alzheimers disease,THSD4,15:71746912,-1.0,
rs184695264-<b>T</b>,4e-06,late-onset alzheimers disease,LINC02421,12:67780260,0.0011802394199966278,
rs9520713-<b>?</b>,4e-06,alzheimer disease,UNKNOWN,13:108020037,-1.0,
rs150061627-<b>T</b>,5e-06,late-onset alzheimers disease,MIR548Y,14:47737481,0.0011095700416088763,
rs150061627-<b>T</b>,5e-06,late-onset alzheimers disease,MDGA2,14:47737481,0.0011095700416088763,
rs1172922-<b>A</b>,5e-06,alzheimer disease,OR7E109P,9:90726252,0.115,Thyroid
rs1172922-<b>A</b>,5e-06,alzheimer disease,DIRAS2,9:90726252,0.115,Thyroid
rs5771225-<b>T</b>,5e-06,late-onset alzheimers disease,SELENOO,22:50201044,0.4195209729461405,
rs140587050-<b>C</b>,5e-06,late-onset alzheimers disease,IRAK1BP1,6:78889320,1.0,
rs6738181-<b>A</b>,5e-06,alzheimer disease,DSTNP5,2:204263298,0.2616085882252705,
rs6856768-<b>?</b>,5e-06,alzheimer disease,RN7SKP199,4:30466544,-1.0,
rs17511627-<b>C</b>,5e-06,alzheimer disease,ATP8A2P3,13:26150190,0.18561692067803431,
rs17511627-<b>C</b>,5e-06,alzheimer disease,RNF6,13:26150190,0.18561692067803431,
rs75635567-<b>T</b>,5e-06,late-onset alzheimers disease,BAALC-AS1,8:103186989,0.9977115117891816,
rs75635567-<b>T</b>,5e-06,late-onset alzheimers disease,BAALC,8:103186989,0.9977115117891816,
rs180751169-<b>T</b>,5e-06,late-onset alzheimers disease,ADAM18,8:39576416,0.0021704605611434623,
rs180751169-<b>T</b>,5e-06,late-onset alzheimers disease,ADAM3A,8:39576416,0.0021704605611434623,
rs190457471-<b>A</b>,5e-06,late-onset alzheimers disease,OSER1-DT,20:44233181,0.0004270462633451957,
rs190457471-<b>A</b>,5e-06,late-onset alzheimers disease,GDAP1L1,20:44233181,0.0004270462633451957,
rs148003968-<b>A</b>,5e-06,late-onset alzheimers disease,TFEB,6:41696609,0.007887771307570143,
rs11738335-<b>?</b>,5e-06,alzheimer disease,C5orf64,5:61654384,-1.0,Adipose_Subcutaneous
rs77544685-<b>T</b>,5e-06,late-onset alzheimers disease,UNKNOWN,11:116082456,0.0010499790004199917,
rs188699384-<b>A</b>,5e-06,late-onset alzheimers disease,MIR924HG,18:39619094,0.000970873786407767,
rs185867524-<b>A</b>,5e-06,late-onset alzheimers disease,DNAH6,2:84597852,7.11743772241993e-05,
rs7618668-<b>?</b>,5e-06,alzheimer disease,CDCP1,3:45056017,-1.0,Artery_Tibial&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Small_Intestine_Terminal_Ileum
rs7618668-<b>?</b>,5e-06,alzheimer disease,CLEC3B,3:45056017,-1.0,Artery_Tibial&Skin_Not_Sun_Exposed_Suprapubic&Adipose_Subcutaneous&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Skin_Sun_Exposed_Lower_leg&Spleen&Muscle_Skeletal&Esophagus_Mucosa&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Nerve_Tibial&Small_Intestine_Terminal_Ileum
rs191404864-<b>A</b>,5e-06,late-onset alzheimers disease,BICRA,19:47635083,0.000970873786407767,
rs10075047-<b>A</b>,5e-06,late-onset alzheimers disease,CCDC112,5:115357977,0.009153952843273229,
rs10075047-<b>A</b>,5e-06,late-onset alzheimers disease,CTNNA1P1,5:115357977,0.009153952843273229,
rs34925435-<b>?</b>,5e-06,alzheimer disease,TMCC1-DT,3:129947221,-1.0,
rs34925435-<b>?</b>,5e-06,alzheimer disease,TRH,3:129947221,-1.0,
rs7207400-<b>T</b>,5e-06,alzheimer disease,LINC02210-CRHR1,17:45746994,0.7125493952820021,
rs111436800-<b>?</b>,5e-06,alzheimer disease,Y_RNA,21:23456358,-1.0,
rs77657034-<b>G</b>,5e-06,alzheimer disease,MAP4K4,2:101857264,0.9877670905687174,
rs1353581-<b>?</b>,5e-06,alzheimer disease,UNKNOWN,4:189068835,-1.0,
rs76252969-<b>?</b>,5e-06,alzheimer disease,RPL13AP7,21:25277446,-1.0,
rs76252969-<b>?</b>,5e-06,alzheimer disease,RNA5SP489,21:25277446,-1.0,
rs7264688-<b>T</b>,5e-06,alzheimer disease,MGME1,20:17974063,0.5501947735757182,
rs7264688-<b>T</b>,5e-06,alzheimer disease,OVOL2,20:17974063,0.5501947735757182,
rs10953322-<b>?</b>,5e-06,alzheimer disease,SERPINE1,7:101103377,-1.0,Adipose_Visceral_Omentum&Thyroid&Cells_Cultured_fibroblasts
rs10953322-<b>?</b>,5e-06,alzheimer disease,TRIM56,7:101103377,-1.0,Adipose_Visceral_Omentum&Thyroid&Cells_Cultured_fibroblasts
rs11848070-<b>C</b>,6e-06,alzheimer disease,PCNX1,14:71040884,-1.0,
rs191707442-<b>T</b>,6e-06,late-onset alzheimers disease,PPP1R3B,8:9182000,0.0002846975088967972,
rs150269952-<b>T</b>,6e-06,late-onset alzheimers disease,RASSF5,1:206526352,0.00027739251040221914,
rs905450-<b>?</b>,6e-06,alzheimer disease,EFL1,15:82152096,-1.0,
rs3826656-<b>?</b>,6e-06,alzheimer disease,CD33,19:51223357,-1.0,
rs3826656-<b>?</b>,6e-06,alzheimer disease,SIGLEC22P,19:51223357,-1.0,
rs184614511-<b>T</b>,6e-06,late-onset alzheimers disease,KSR2,12:117861676,0.005888650963597432,
rs199499-<b>C</b>,6e-06,alzheimer disease,WNT3,17:46788132,0.8483324510322923,
rs1923775-<b>T</b>,6e-06,alzheimer disease,POLN,4:2101369,0.7017015112677559,Thyroid
rs1923775-<b>T</b>,6e-06,alzheimer disease,HAUS3,4:2101369,0.7017015112677559,Thyroid
rs6945197-<b>T</b>,6e-06,late-onset alzheimers disease,ZP3P2,7:136477062,0.04777106211514997,
rs6945197-<b>T</b>,6e-06,late-onset alzheimers disease,PLXNA4,7:136477062,0.04777106211514997,
rs2876189-<b>G</b>,6e-06,alzheimer disease,OFCC1,6:10101984,0.3290654390476362,
rs115972394-<b>A</b>,6e-06,late-onset alzheimers disease,ATP6V0E2,7:149924921,0.0005975500448162532,
rs12716755-<b>A</b>,6e-06,late-onset alzheimers disease,USP10,16:84699678,0.725235196458218,
rs12716755-<b>A</b>,6e-06,late-onset alzheimers disease,KLHL36,16:84699678,0.725235196458218,
rs187295598-<b>T</b>,6e-06,late-onset alzheimers disease,GPR180,13:94628579,0.9977115117891816,
rs59406683-<b>A</b>,6e-06,alzheimer disease,UNKNOWN,7:110142514,0.8717310746426681,
rs145840463-<b>A</b>,6e-06,late-onset alzheimers disease,CFAP74,1:1950293,0.0002827654460624913,
rs4509693-<b>?</b>,6e-06,alzheimer disease,PAX2,10:100741814,-1.0,
rs186588455-<b>A</b>,6e-06,late-onset alzheimers disease,MRPL45,17:38287606,0.990984743411928,
rs186588455-<b>A</b>,6e-06,late-onset alzheimers disease,NPEPPSP1,17:38287606,0.990984743411928,
rs2244526-<b>T</b>,6e-06,late-onset alzheimers disease,SELP,1:169617708,0.8997146324225573,Muscle_Skeletal
rs11038990-<b>?</b>,6e-06,late-onset alzheimers disease,CKAP5,11:46783211,-1.0,
rs192098867-<b>?</b>,7.000000000000001e-06,late-onset alzheimers disease,TRPM1,15:31149558,-1.0,
rs10807828-<b>C</b>,7.000000000000001e-06,alzheimer disease,UNKNOWN,7:25528235,0.3663118346900439,
rs2234017-<b>C</b>,7.000000000000001e-06,late-onset alzheimers disease,TAS2R5,7:141791266,0.00909090909090909,
rs11613092-<b>G</b>,7.000000000000001e-06,alzheimer disease,SUDS3,12:118455443,-1.0,
rs115078773-<b>A</b>,7.000000000000001e-06,late-onset alzheimers disease,TMCO4,1:19693032,0.9808364213869772,Pancreas
rs4073601-<b>G</b>,7.000000000000001e-06,alzheimer disease,LINC00899,22:46038806,0.5144549428853477,
rs4073601-<b>G</b>,7.000000000000001e-06,alzheimer disease,WNT7B,22:46038806,0.5144549428853477,
rs186076999-<b>T</b>,7.000000000000001e-06,late-onset alzheimers disease,UNKNOWN,9:20013543,0.001941747572815534,
rs1129187-<b>T</b>,7.000000000000001e-06,alzheimer disease,PEX6,6:42964462,0.4410426328495834,Artery_Coronary&Brain_Caudate_basal_ganglia&Artery_Tibial&Brain_Cerebellar_Hemisphere&Colon_Sigmoid&Cells_Cultured_fibroblasts&Adipose_Visceral_Omentum&Minor_Salivary_Gland&Skin_Not_Sun_Exposed_Suprapubic&Ovary&Brain_Cortex&Adipose_Subcutaneous&Brain_Hippocampus&Cells_EBV-transformed_lymphocytes&Esophagus_Gastroesophageal_Junction&Colon_Transverse&Esophagus_Muscularis&Stomach&Liver&Thyroid&Artery_Aorta&Breast_Mammary_Tissue&Adrenal_Gland&Uterus&Brain_Substantia_nigra&Kidney_Cortex&Brain_Amygdala&Whole_Blood&Brain_Spinal_cord_cervical_c-1&Brain_Cerebellum&Brain_Anterior_cingulate_cortex_BA24&Brain_Putamen_basal_ganglia&Skin_Sun_Exposed_Lower_leg&Brain_Nucleus_accumbens_basal_ganglia&Muscle_Skeletal&Spleen&Esophagus_Mucosa&Prostate&Heart_Atrial_Appendage&Lung&Testis&Heart_Left_Ventricle&Brain_Frontal_Cortex_BA9&Nerve_Tibial&Pituitary&Pancreas&Vagina&Brain_Hypothalamus&Small_Intestine_Terminal_Ileum
rs148587130-<b>T</b>,7.000000000000001e-06,late-onset alzheimers disease,NEK10,3:27236975,0.0007117437722419928,
rs190217640-<b>?</b>,7.000000000000001e-06,late-onset alzheimers disease,NEGR1,1:71755908,-1.0,
rs145228677-<b>C</b>,7.000000000000001e-06,late-onset alzheimers disease,RPS18P12,17:14641688,7.11743772241993e-05,
rs4937314-<b>C</b>,7.000000000000001e-06,alzheimer disease,LINC02098,11:128319206,-1.0,
