,variant_and_allele,p_value,trait,gene,location
630,rs11766321-<b>T</b>,1e-08,schizophrenia,DGKI,7:137392157
343,rs10791099-<b>?</b>,1e-08,schizophrenia,LINC02551,11:130848918
1031,rs7819570-<b>T</b>,1e-08,schizophrenia,UNKNOWN,8:88576397
1974,rs34312605-<b>?</b>,1e-08,schizophrenia,FXR1,3:180872509
443,rs6703335-<b>?</b>,1e-08,schizophrenia,SDCCAG8,1:243445665
2393,rs28473013-<b>T</b>,1e-08,schizophrenia,RNF111,15:58920827
2393,rs28473013-<b>T</b>,1e-08,schizophrenia,SLTM,15:58920827
1960,rs9428966-<b>?</b>,1e-08,schizophrenia,AKT3,1:243504598
312,rs1106568-<b>?</b>,1e-08,schizophrenia,GPM6A,4:175940150
110,rs7010876-<b>T</b>,1e-08,schizophrenia,MMP16,8:88252522
313,rs62378245-<b>?</b>,1e-08,schizophrenia,MEF2C-AS1,5:89448145
314,rs7235891-<b>?</b>,1e-08,schizophrenia,LINC01415,18:55787543
314,rs7235891-<b>?</b>,1e-08,schizophrenia,LINC01416,18:55787543
534,rs61257528-<b>?</b>,1e-08,schizophrenia,SPECC1,17:20028279
426,rs1357318-<b>?</b>,1e-08,schizophrenia,SGCE,7:94638550
1729,rs112973353-<b>T</b>,1e-08,schizophrenia,ASPG,14:104071343
1729,rs112973353-<b>T</b>,1e-08,schizophrenia,TDRD9,14:104071343
1961,rs13011472-<b>?</b>,1e-08,schizophrenia,ACTG1P22,2:57734467
446,rs59159185-<b>?</b>,1e-08,schizophrenia,VRK2,2:57874972
954,rs17439799-<b>C</b>,1e-08,schizophrenia,IMMP2L,7:111101521
954,rs17439799-<b>C</b>,1e-08,schizophrenia,LRRN3,7:111101521
519,rs62244881-<b>?</b>,1e-08,schizophrenia,FOXP1,3:71519926
635,rs9695226-<b>A</b>,1e-08,schizophrenia,UNKNOWN,Mapping not available
573,rs359260-<b>G</b>,1e-08,schizophrenia,MIR4432HG,2:60259801
454,rs13004237-<b>?</b>,1e-08,schizophrenia,UNKNOWN,Mapping not available
2454,rs9595066-<b>T</b>,1e-08,schizophrenia,LINC00390,13:44132132
2454,rs9595066-<b>T</b>,1e-08,schizophrenia,SMIM2-AS1,13:44132132
897,rs10803138-<b>G</b>,1e-08,schizophrenia,UNKNOWN,Mapping not available
541,rs337718-<b>?</b>,1e-08,schizophrenia,UNKNOWN,18:72107043
785,rs13259407-<b>C</b>,1e-08,schizophrenia,PSD3,8:18565413
2526,rs4762557-<b>?</b>,1e-08,schizophrenia,UNKNOWN,Mapping not available
787,rs11778040-<b>C</b>,1e-08,schizophrenia,GULOP,8:27562290
548,rs12104272-<b>?</b>,1e-08,schizophrenia,UNKNOWN,Mapping not available
2064,rs74804370-<b>?</b>,1e-08,schizophrenia,UNKNOWN,8:34141053
2457,rs62065467-<b>C</b>,1e-08,schizophrenia,ZNF207,17:32433299
2457,rs62065467-<b>C</b>,1e-08,schizophrenia,PSMD11,17:32433299
1052,rs2068012-<b>C</b>,1e-08,schizophrenia,PRKD1,14:29721110
667,rs7143919-<b>A</b>,1e-08,schizophrenia,UNKNOWN,Mapping not available
1453,rs62378245-<b>C</b>,1e-08,schizophrenia,MEF2C-AS1,5:89448145
663,rs10860960-<b>T</b>,2e-08,schizophrenia,C12orf42,12:103200284
1460,rs72986630-<b>T</b>,2e-08,schizophrenia,ZNF823,19:11738921
317,rs7927176-<b>?</b>,2e-08,schizophrenia,GRAMD1B,11:123525156
318,rs6990941-<b>?</b>,2e-08,schizophrenia,UNKNOWN,8:88632202
2445,rs890235-<b>G</b>,2e-08,schizophrenia,LINC01289,8:63803912
2445,rs890235-<b>G</b>,2e-08,schizophrenia,LINC01414,8:63803912
165,rs2764766-<b>C</b>,2e-08,schizophrenia,CCDC192,5:127877933
2426,rs4146645-<b>A</b>,2e-08,schizophrenia,PCDH15,10:54023386
2063,rs13236223-<b>?</b>,2e-08,schizophrenia,BRAF,7:140967165
2063,rs13236223-<b>?</b>,2e-08,schizophrenia,CCT4P1,7:140967165
2108,rs34542576-<b>?</b>,2e-08,schizophrenia,PCNX1,14:71068776
206,rs11534004-<b>G</b>,2e-08,schizophrenia,PPP1R3A,7:113827389
547,rs3810449-<b>?</b>,2e-08,schizophrenia,THAP8,19:36040011
608,rs6903570-<b>C</b>,2e-08,schizophrenia,EYS,6:64156964
653,rs484201-<b>T</b>,2e-08,schizophrenia,MACROD1,11:64023459
607,rs11740474-<b>T</b>,2e-08,schizophrenia,GALNT10,5:154301187
652,rs7951870-<b>T</b>,2e-08,schizophrenia,UNKNOWN,Mapping not available
2376,rs492430-<b>T</b>,2e-08,schizophrenia,POP7,7:100715476
2376,rs492430-<b>T</b>,2e-08,schizophrenia,EPO,7:100715476
2433,rs7322886-<b>T</b>,2e-08,schizophrenia,RCBTB1,13:49605318
2433,rs7322886-<b>T</b>,2e-08,schizophrenia,ARL11,13:49605318
2092,rs61867294-<b>?</b>,2e-08,schizophrenia,SORCS3,10:104809449
2379,rs6563592-<b>T</b>,2e-08,schizophrenia,LINC00571,13:38240802
650,rs61867294-<b>A</b>,2e-08,schizophrenia,SORCS3,10:104809449
717,rs7807720-<b>A</b>,2e-08,schizophrenia,UNKNOWN,7:110433698
176,rs111782145-<b>C</b>,2e-08,schizophrenia,GTF2H4,6:30905731
176,rs111782145-<b>C</b>,2e-08,schizophrenia,DDR1,6:30905731
520,rs3849490-<b>?</b>,2e-08,schizophrenia,ROBO2,3:76420223
1449,rs62200787-<b>T</b>,2e-08,schizophrenia,ZNF804A,2:184862626
2370,rs2911914-<b>T</b>,2e-08,schizophrenia,Y_RNA,4:37819057
2370,rs2911914-<b>T</b>,2e-08,schizophrenia,PGM2,4:37819057
2540,rs76432012-<b>?</b>,2e-08,schizophrenia,UNKNOWN,Mapping not available
929,rs56873913-<b>T</b>,2e-08,schizophrenia,NOSIP,19:49587942
929,rs56873913-<b>T</b>,2e-08,schizophrenia,PRRG2,19:49587942
31,rs56775891-<b>T</b>,2e-08,schizophrenia,KCNG2,18:79815613
31,rs56775891-<b>T</b>,2e-08,schizophrenia,CTDP1,18:79815613
2029,rs7636341-<b>?</b>,2e-08,schizophrenia,ROBO2,3:76172528
2442,rs1132998-<b>C</b>,2e-08,schizophrenia,GSX2,4:54100752
661,rs439639-<b>A</b>,2e-08,schizophrenia,TMTC1,12:29764708
319,rs7299943-<b>?</b>,2e-08,schizophrenia,PITPNM2,12:123108938
17,rs1191551-<b>T</b>,2e-08,schizophrenia,RNU11-5P,14:29531199
17,rs1191551-<b>T</b>,2e-08,schizophrenia,PRKD1,14:29531199
2049,rs114187207-<b>?</b>,2e-08,schizophrenia,OR5V1,6:29388810
173,rs2980436-<b>A</b>,2e-08,schizophrenia,FAM86B3P,8:8234503
2429,rs11169294-<b>G</b>,2e-08,schizophrenia,CERS5,12:50168215
2429,rs11169294-<b>G</b>,2e-08,schizophrenia,LIMA1,12:50168215
2444,rs6467912-<b>C</b>,2e-08,schizophrenia,PCLO,7:82804512
764,rs4987094-<b>A</b>,2e-08,schizophrenia,TTC12,11:113345201
349,rs10777342-<b>?</b>,2e-08,schizophrenia,LINC02404,12:91863357
367,rs2957582-<b>?</b>,2e-08,schizophrenia,FRMD5,15:43965756
469,rs2612614-<b>?</b>,2e-08,schizophrenia,MIR124-2HG,8:64398279
2455,rs7494766-<b>G</b>,2e-08,schizophrenia,NIN,14:50752053
479,rs533123-<b>?</b>,2e-08,schizophrenia,OPRD1,1:28814643
958,rs13261481-<b>T</b>,2e-08,schizophrenia,UNKNOWN,8:59789242
2341,rs10860964-<b>T</b>,2e-08,schizophrenia,C12orf42,12:103202677
808,rs1353545-<b>C</b>,2e-08,schizophrenia,FHIT,3:60302116
1986,rs13176930-<b>?</b>,2e-08,schizophrenia,LINC01470,5:153285161
371,rs783540-<b>?</b>,2e-08,schizophrenia,UNKNOWN,Mapping not available
2422,rs156089-<b>C</b>,2e-08,schizophrenia,CYSTM1,5:140142743
2422,rs156089-<b>C</b>,2e-08,schizophrenia,IGIP,5:140142743
686,rs2339519-<b>A</b>,2e-08,schizophrenia,LINC01830,2:22381268
2459,rs281377-<b>C</b>,2e-08,schizophrenia,FUT2,19:48703346
394,rs4734654-<b>?</b>,2e-08,schizophrenia,KLF10,8:102657763
394,rs4734654-<b>?</b>,2e-08,schizophrenia,ADI1P2,8:102657763
1029,rs73229090-<b>C</b>,2e-08,schizophrenia,GULOP,8:27584610
1978,rs3740393-<b>?</b>,2e-08,schizophrenia,BORCS7-ASMT,10:102876898
1978,rs3740393-<b>?</b>,2e-08,schizophrenia,AS3MT,10:102876898
620,rs1339227-<b>T</b>,2e-08,schizophrenia,RIMS1,6:72445999
385,rs2634447-<b>?</b>,2e-08,schizophrenia,PSD3,8:18584841
2453,rs11104379-<b>G</b>,2e-08,schizophrenia,RPL23AP68,12:87266212
790,rs7012816-<b>A</b>,2e-08,schizophrenia,PRDM14,8:70052508
401,rs61847303-<b>?</b>,2e-08,schizophrenia,PRKG1,10:52180766
1066,rs8044995-<b>A</b>,2e-08,schizophrenia,NFATC3,16:68155437
1065,rs12325245-<b>T</b>,2e-08,schizophrenia,CNOT1,16:58647489
1065,rs12325245-<b>T</b>,2e-08,schizophrenia,SLC38A7,16:58647489
127,rs12421382-<b>C</b>,2e-08,schizophrenia,C11orf87,11:109507345
2477,rs1879250-<b>?</b>,2e-08,schizophrenia,UNKNOWN,Mapping not available
682,rs17659437-<b>T</b>,2e-08,schizophrenia,BRINP2,1:177337251
682,rs17659437-<b>T</b>,2e-08,schizophrenia,LINC01645,1:177337251
1078,rs12845396-<b>T</b>,2e-08,schizophrenia,NLGN4X,X:6111492
762,rs1864774-<b>C</b>,2e-08,schizophrenia,DLG2,11:83488233
665,rs10149407-<b>T</b>,2e-08,schizophrenia,PRKD1,14:29718199
960,rs11027827-<b>C</b>,2e-08,schizophrenia,LINC02686,11:24353633
1873,rs11532322-<b>A</b>,2e-08,schizophrenia,C12orf65,12:123246876
1872,rs14403-<b>C</b>,2e-08,schizophrenia,AKT3,1:243500591
2195,rs56282503-<b>?</b>,2e-08,schizophrenia,PAK6,15:40274558
1902,rs7914558-<b>G</b>,2e-08,schizophrenia,CNNM2,10:103016151
1603,rs12360997-<b>G</b>,2e-08,schizophrenia,Y_RNA,11:24364023
51,rs35065479-<b>A</b>,2e-08,schizophrenia,MSI2,17:57659374
133,rs28607014-<b>C</b>,2e-08,schizophrenia,NOS1,12:117270806
1622,rs2945232-<b>C</b>,2e-08,schizophrenia,ALG1L13P,8:8240516
1622,rs2945232-<b>C</b>,2e-08,schizophrenia,FAM86B3P,8:8240516
2194,rs4240748-<b>?</b>,2e-08,schizophrenia,LINC02404,12:91853010
1968,rs6704768-<b>?</b>,2e-08,schizophrenia,GIGYF2,2:232727791
419,rs7811417-<b>?</b>,2e-08,schizophrenia,SP4,7:21494534
2193,rs35604463-<b>?</b>,2e-08,schizophrenia,BCL11B,14:99245695
2192,rs146678232-<b>?</b>,2e-08,schizophrenia,GSDME,7:24737471
2066,rs7819570-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,8:88576397
2443,rs12652777-<b>T</b>,3.0000000000000004e-08,schizophrenia,SGCD,5:156348065
2550,rs17073903-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,Mapping not available
1549,rs76355118-<b>G</b>,3.0000000000000004e-08,schizophrenia,EPC2,2:148654436
1939,rs2068012-<b>?</b>,3.0000000000000004e-08,schizophrenia,PRKD1,14:29721110
1736,rs10425465-<b>T</b>,3.0000000000000004e-08,schizophrenia,PEPD,19:33407028
2519,rs7121067-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,Mapping not available
1373,rs1367858-<b>T</b>,3.0000000000000004e-08,schizophrenia,SPATS2L,2:200296048
714,rs11982256-<b>T</b>,3.0000000000000004e-08,schizophrenia,DMTF1,7:87170125
625,rs17212432-<b>T</b>,3.0000000000000004e-08,schizophrenia,PCLO,7:82811604
684,rs10803138-<b>A</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,Mapping not available
2012,rs72769124-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,1:239046758
1907,rs12966547-<b>G</b>,3.0000000000000004e-08,schizophrenia,LINC01929,18:55084786
1903,rs11191580-<b>T</b>,3.0000000000000004e-08,schizophrenia,NT5C2,10:103146454
700,rs4630889-<b>T</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,Mapping not available
128,rs758129-<b>G</b>,3.0000000000000004e-08,schizophrenia,POLG-DT,15:89357656
128,rs758129-<b>G</b>,3.0000000000000004e-08,schizophrenia,MIR9-3HG,15:89357656
1879,rs1538774-<b>G</b>,3.0000000000000004e-08,schizophrenia,SDCCAG8,1:243381525
29,rs12543645-<b>C</b>,3.0000000000000004e-08,schizophrenia,MSRA,8:10388815
1998,rs114460660-<b>?</b>,3.0000000000000004e-08,schizophrenia,ZNF70P1,6:33227606
1998,rs114460660-<b>?</b>,3.0000000000000004e-08,schizophrenia,HTATSF1P1,6:33227606
701,rs215412-<b>A</b>,3.0000000000000004e-08,schizophrenia,RFPL4AP3,4:23421963
1874,rs11995572-<b>T</b>,3.0000000000000004e-08,schizophrenia,SLC45A4,8:88579854
668,rs10150710-<b>T</b>,3.0000000000000004e-08,schizophrenia,BCL11B,14:99253343
35,rs2944823-<b>A</b>,3.0000000000000004e-08,schizophrenia,CALN1,7:72330485
666,rs2810117-<b>T</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,Mapping not available
2018,rs4619651-<b>?</b>,3.0000000000000004e-08,schizophrenia,CNNM4,2:96750416
2018,rs4619651-<b>?</b>,3.0000000000000004e-08,schizophrenia,LMAN2L,2:96750416
2031,rs13097727-<b>?</b>,3.0000000000000004e-08,schizophrenia,FXR1,3:180934082
2536,rs10497655-<b>?</b>,3.0000000000000004e-08,schizophrenia,MIR548AE1,2:184597314
2536,rs10497655-<b>?</b>,3.0000000000000004e-08,schizophrenia,ZNF804A,2:184597314
690,rs4619651-<b>A</b>,3.0000000000000004e-08,schizophrenia,CNNM4,2:96750416
690,rs4619651-<b>A</b>,3.0000000000000004e-08,schizophrenia,LMAN2L,2:96750416
1512,rs79212538-<b>T</b>,3.0000000000000004e-08,schizophrenia,LINC01470,5:152613544
119,rs12623170-<b>C</b>,3.0000000000000004e-08,schizophrenia,RBKS,2:27797290
119,rs12623170-<b>C</b>,3.0000000000000004e-08,schizophrenia,MRPL33,2:27797290
153,rs11722779-<b>G</b>,3.0000000000000004e-08,schizophrenia,SLC9B1,4:102906331
16,rs10510653-<b>A</b>,3.0000000000000004e-08,schizophrenia,OSBPL10,3:32017067
614,rs6869862-<b>T</b>,3.0000000000000004e-08,schizophrenia,LINC02163,5:104550512
614,rs6869862-<b>T</b>,3.0000000000000004e-08,schizophrenia,RNU6-334P,5:104550512
159,rs2247870-<b>A</b>,3.0000000000000004e-08,schizophrenia,ADGRV1,5:90855772
1918,rs2192932-<b>?</b>,3.0000000000000004e-08,schizophrenia,LINC01004,7:105012818
2042,rs9358912-<b>?</b>,3.0000000000000004e-08,schizophrenia,H4C5,6:26210918
2042,rs9358912-<b>?</b>,3.0000000000000004e-08,schizophrenia,H2BC8,6:26210918
420,rs112316332-<b>?</b>,3.0000000000000004e-08,schizophrenia,IGF2BP3,7:23453994
2417,rs2439202-<b>C</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,2:193513924
408,rs76262184-<b>?</b>,3.0000000000000004e-08,schizophrenia,GRIA1,5:153415751
1119,rs11098403-<b>G</b>,3.0000000000000004e-08,schizophrenia,LINC01378,4:117725752
1151,rs72700829-<b>C</b>,3.0000000000000004e-08,schizophrenia,MCL1,1:150567705
2420,rs2868134-<b>A</b>,3.0000000000000004e-08,schizophrenia,PRKG2,4:81095067
368,rs793571-<b>?</b>,3.0000000000000004e-08,schizophrenia,MINDY2,15:58849507
359,rs9569820-<b>?</b>,3.0000000000000004e-08,schizophrenia,LINC02338,13:58128612
353,rs11615992-<b>?</b>,3.0000000000000004e-08,schizophrenia,P2RX4,12:121189465
353,rs11615992-<b>?</b>,3.0000000000000004e-08,schizophrenia,P2RX7,12:121189465
1181,rs1023500-<b>T</b>,3.0000000000000004e-08,schizophrenia,CENPM,22:41944840
2197,rs10520163-<b>?</b>,3.0000000000000004e-08,schizophrenia,CLCN3,4:169705401
2196,rs4925114-<b>?</b>,3.0000000000000004e-08,schizophrenia,RAI1,17:17807956
2476,rs9783206-<b>TT</b>,3.0000000000000004e-08,schizophrenia,PANK1,10:89633532
591,rs1792709-<b>G</b>,3.0000000000000004e-08,schizophrenia,LINC01905,18:56101744
591,rs1792709-<b>G</b>,3.0000000000000004e-08,schizophrenia,LINC01539,18:56101744
322,rs12647126-<b>?</b>,3.0000000000000004e-08,schizophrenia,NEK1,4:169455554
321,rs8082590-<b>?</b>,3.0000000000000004e-08,schizophrenia,GID4,17:18055088
749,rs10204454-<b>T</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,2:193481559
2456,rs76664468-<b>T</b>,3.0000000000000004e-08,schizophrenia,PPP2R5E,14:63530992
577,rs2073499-<b>G</b>,3.0000000000000004e-08,schizophrenia,RASSF1,3:50336862
423,rs323169-<b>?</b>,3.0000000000000004e-08,schizophrenia,MAGI2,7:78708384
428,rs9656169-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,7:110434219
2381,rs6100546-<b>T</b>,3.0000000000000004e-08,schizophrenia,PHACTR3,20:59677352
2380,rs2099108-<b>C</b>,3.0000000000000004e-08,schizophrenia,GTF2A1,14:81209076
2378,rs7301566-<b>T</b>,3.0000000000000004e-08,schizophrenia,LIMA1,12:50187864
2391,rs431414-<b>T</b>,3.0000000000000004e-08,schizophrenia,MINDY2,15:58855601
545,rs11878180-<b>?</b>,3.0000000000000004e-08,schizophrenia,GNG7,19:2686463
515,rs117465168-<b>?</b>,3.0000000000000004e-08,schizophrenia,DOCK3,3:51263988
551,rs7271624-<b>?</b>,3.0000000000000004e-08,schizophrenia,PTGIS,20:49512632
554,rs5757773-<b>?</b>,3.0000000000000004e-08,schizophrenia,ENTHD1,22:39691384
554,rs5757773-<b>?</b>,3.0000000000000004e-08,schizophrenia,CACNA1I,22:39691384
556,rs77441740-<b>?</b>,3.0000000000000004e-08,schizophrenia,TNFRSF13C,22:41933271
556,rs77441740-<b>?</b>,3.0000000000000004e-08,schizophrenia,CENPM,22:41933271
2375,rs2106747-<b>A</b>,3.0000000000000004e-08,schizophrenia,RNA5SP228,7:23871880
2375,rs2106747-<b>A</b>,3.0000000000000004e-08,schizophrenia,STK31,7:23871880
2373,rs12202107-<b>T</b>,3.0000000000000004e-08,schizophrenia,SAMD3,6:130277478
748,rs12619354-<b>T</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,2:193138056
513,rs138636117-<b>?</b>,3.0000000000000004e-08,schizophrenia,MAPKAPK3,3:50636095
495,rs200528994-<b>?</b>,3.0000000000000004e-08,schizophrenia,LINC01470,5:152599547
965,rs6716963-<b>A</b>,3.0000000000000004e-08,schizophrenia,NAB1,2:193502815
2369,rs1426271-<b>A</b>,3.0000000000000004e-08,schizophrenia,LPP,3:188469462
1021,rs1339227-<b>C</b>,3.0000000000000004e-08,schizophrenia,RIMS1,6:72445999
464,rs6832165-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,4:24268587
814,rs192812-<b>C</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,3:161774043
506,rs6797774-<b>?</b>,3.0000000000000004e-08,schizophrenia,U3,3:30262715
2479,rs60680162-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,Mapping not available
2343,rs4445544-<b>C</b>,3.0000000000000004e-08,schizophrenia,NSUN6,10:18587155
207,rs2073499-<b>A</b>,3.0000000000000004e-08,schizophrenia,RASSF1,3:50336862
2506,rs1376608-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,Mapping not available
1301,rs679087-<b>C</b>,3.0000000000000004e-08,schizophrenia,TMTC1,12:29764332
2503,rs6943762-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,Mapping not available
2430,rs7309031-<b>C</b>,3.0000000000000004e-08,schizophrenia,LINC02882,12:74103016
2501,rs134873-<b>?</b>,3.0000000000000004e-08,schizophrenia,TCF20,22:42261560
2508,rs876983-<b>?</b>,3.0000000000000004e-08,schizophrenia,UNKNOWN,Mapping not available
2431,rs2088911-<b>G</b>,3.0000000000000004e-08,schizophrenia,LINC00571,13:38270302
2435,rs1635298-<b>A</b>,3.0000000000000004e-08,schizophrenia,LINC02210-CRHR1,17:45666978
1949,rs76641465-<b>?</b>,4e-08,schizophrenia,TCF4,18:55319930
966,rs1065861-<b>T</b>,4e-08,schizophrenia,MEF2C,5:88796133
1992,rs2022272-<b>?</b>,4e-08,schizophrenia,H2AC11,6:27135801
1992,rs2022272-<b>?</b>,4e-08,schizophrenia,H4C9,6:27135801
2054,rs12190758-<b>?</b>,4e-08,schizophrenia,UNKNOWN,6:92438623
484,rs1997529-<b>?</b>,4e-08,schizophrenia,COX7A2P2,4:96819992
484,rs1997529-<b>?</b>,4e-08,schizophrenia,LINC02267,4:96819992
2199,rs11165867-<b>?</b>,4e-08,schizophrenia,DPYD-IT1,1:97412512
2199,rs11165867-<b>?</b>,4e-08,schizophrenia,DPYD,1:97412512
2198,rs1975802-<b>?</b>,4e-08,schizophrenia,PLA2G15,16:68251944
2558,rs6909479-<b>?</b>,4e-08,schizophrenia,UNKNOWN,Mapping not available
1942,rs34053174-<b>?</b>,4e-08,schizophrenia,BCL11B,14:99255953
927,rs3764567-<b>T</b>,4e-08,schizophrenia,MAU2,19:19329257
1081,rs211829-<b>T</b>,4e-08,schizophrenia,UNKNOWN,7:110408836
2102,rs3741434-<b>?</b>,4e-08,schizophrenia,RARG,12:53211560
967,rs67082009-<b>A</b>,4e-08,schizophrenia,UNKNOWN,2:145662536
615,rs10043984-<b>T</b>,4e-08,schizophrenia,KDM3B,5:138376432
632,rs7001340-<b>T</b>,4e-08,schizophrenia,UNKNOWN,Mapping not available
1543,rs7601312-<b>G</b>,4e-08,schizophrenia,UNKNOWN,Mapping not available
2056,rs73060317-<b>?</b>,4e-08,schizophrenia,SP4,7:21480594
1979,rs7312955-<b>?</b>,4e-08,schizophrenia,CDK2AP1,12:123263236
390,rs6983764-<b>?</b>,4e-08,schizophrenia,RP1,8:54828373
968,rs35751669-<b>G</b>,4e-08,schizophrenia,TENM3,4:182716504
483,rs4697446-<b>?</b>,4e-08,schizophrenia,UNKNOWN,4:24267999
618,rs2910032-<b>T</b>,4e-08,schizophrenia,LINC01470,5:153160794
409,rs6864084-<b>?</b>,4e-08,schizophrenia,GALNT10,5:154305966
1875,rs171748-<b>A</b>,4e-08,schizophrenia,SMIM15-AS1,5:61203304
1875,rs171748-<b>A</b>,4e-08,schizophrenia,LINC02057,5:61203304
1985,rs13361438-<b>?</b>,4e-08,schizophrenia,LINC01470,5:152627515
2268,rs4833558-<b>C</b>,4e-08,schizophrenia,NDST3,4:117998342
729,rs12139672-<b>G</b>,4e-08,schizophrenia,UNKNOWN,1:190971497
517,rs2358740-<b>?</b>,4e-08,schizophrenia,CACNA1D,3:53421542
2065,rs4647903-<b>?</b>,4e-08,schizophrenia,FGFR1,8:38415064
134,rs323167-<b>C</b>,4e-08,schizophrenia,MAGI2,7:78707361
2462,rs1281571-<b>A</b>,4e-08,schizophrenia,UNKNOWN,1:82454242
253,rs10866912-<b>A</b>,4e-08,schizophrenia,MROH6,8:143573145
253,rs10866912-<b>A</b>,4e-08,schizophrenia,NAPRT,8:143573145
643,rs2916068-<b>A</b>,4e-08,schizophrenia,UNKNOWN,Mapping not available
651,rs111511290-<b>A</b>,4e-08,schizophrenia,UNKNOWN,Mapping not available
3,rs2269372-<b>A</b>,4e-08,schizophrenia,RENBP,X:153942092
522,rs28886334-<b>?</b>,4e-08,schizophrenia,UNKNOWN,3:161749343
2516,rs72843998-<b>?</b>,4e-08,schizophrenia,UNKNOWN,Mapping not available
552,rs9975024-<b>?</b>,4e-08,schizophrenia,NRIP1,21:15067562
135,rs10148671-<b>C</b>,4e-08,schizophrenia,LINC02326,14:29000167
1673,rs427230-<b>T</b>,4e-08,schizophrenia,PPDPF,20:63523758
1673,rs427230-<b>T</b>,4e-08,schizophrenia,PTK6,20:63523758
431,rs12083902-<b>?</b>,4e-08,schizophrenia,AGO4,1:35809511
437,rs1999512-<b>?</b>,4e-08,schizophrenia,Y_RNA,1:110779397
437,rs1999512-<b>?</b>,4e-08,schizophrenia,NRBF2P3,1:110779397
1811,rs7709645-<b>?</b>,4e-08,schizophrenia,ZSWIM6,5:61435631
439,rs61826793-<b>?</b>,4e-08,schizophrenia,ANKRD45,1:173677634
439,rs61826793-<b>?</b>,4e-08,schizophrenia,KLHL20,1:173677634
1012,rs7523273-<b>A</b>,4e-08,schizophrenia,MIR29B2CHG,1:207803738
323,rs6704641-<b>?</b>,4e-08,schizophrenia,SATB2,2:199299529
857,rs12911832-<b>A</b>,4e-08,schizophrenia,ADAM10,15:58693705
1963,rs9330316-<b>?</b>,5e-08,schizophrenia,SH3RF3,2:109526659
1963,rs9330316-<b>?</b>,5e-08,schizophrenia,SEPTIN10,2:109526659
2367,rs115487049-<b>A</b>,5e-08,schizophrenia,GCFC2,2:76070217
2367,rs115487049-<b>A</b>,5e-08,schizophrenia,SUCLA2P2,2:76070217
1910,rs17662626-<b>A</b>,5e-08,schizophrenia,UNKNOWN,2:193119895
2502,rs17284668-<b>?</b>,5e-08,schizophrenia,UNKNOWN,Mapping not available
2358,rs7192086-<b>T</b>,5e-08,schizophrenia,SHISA9,16:12967754
425,rs74912003-<b>?</b>,5e-08,schizophrenia,TP53TG1,7:87252657
425,rs74912003-<b>?</b>,5e-08,schizophrenia,TMEM243,7:87252657
95,rs34102591-<b>G</b>,5e-08,schizophrenia,ZNF664,12:123996254
95,rs34102591-<b>G</b>,5e-08,schizophrenia,RFLNA,12:123996254
1616,rs28730912-<b>T</b>,5e-08,schizophrenia,UNKNOWN,3:162062168
1568,rs12522290-<b>C</b>,5e-08,schizophrenia,GRIA1,5:153418096
1016,rs2909457-<b>G</b>,5e-08,schizophrenia,SLC4A10,2:161989345
1016,rs2909457-<b>G</b>,5e-08,schizophrenia,DPP4,2:161989345
1967,rs7577690-<b>?</b>,5e-08,schizophrenia,RETREG2,2:219180313
1980,rs7653924-<b>?</b>,5e-08,schizophrenia,SH3RF1,4:169281711
22,rs112509803-<b>C</b>,5e-08,schizophrenia,GSDME,7:24695385
22,rs112509803-<b>C</b>,5e-08,schizophrenia,MPP6,7:24695385
336,rs11230827-<b>?</b>,5e-08,schizophrenia,RAB3IL1,11:61919982
509,rs17635239-<b>?</b>,5e-08,schizophrenia,U3,3:45265142
728,rs9970077-<b>A</b>,5e-08,schizophrenia,LINC01741,1:177791783
1252,rs13170232-<b>T</b>,5e-08,schizophrenia,GRIA1,5:153519972
2507,rs17150950-<b>?</b>,5e-08,schizophrenia,UNKNOWN,Mapping not available
2542,rs7601312-<b>?</b>,5e-08,schizophrenia,UNKNOWN,Mapping not available
145,rs8058130-<b>G</b>,5e-08,schizophrenia,UNKNOWN,16:64337259
2017,rs11899902-<b>?</b>,5e-08,schizophrenia,ALMS1,2:73404436
2517,rs111511290-<b>?</b>,5e-08,schizophrenia,UNKNOWN,Mapping not available
536,rs1440849-<b>?</b>,5e-08,schizophrenia,UNKNOWN,18:29921527
1746,rs10838634-<b>A</b>,5e-08,schizophrenia,LRP4,11:46908403
2036,rs10043984-<b>?</b>,5e-08,schizophrenia,KDM3B,5:138376432
337,rs7951609-<b>?</b>,5e-08,schizophrenia,TENM4,11:79519877
